Incident_ID,User_ID,Incident_Type,Risk_Level,Resolution_Time_min,Status,Detected_By,Timestamp
77,9121,SQL Injection,High,223,Resolved,Security Team,2024-03-04 04:00:00
78,2125,Credential Stuffing,Medium,276,In Progress,User Report,2024-03-04 05:00:00
79,8115,SQL Injection,High,262,In Progress,Security Team,2024-03-04 06:00:00
80,5578,SQL Injection,High,135,Resolved,Security Team,2024-03-04 07:00:00
81,8927,Malware Infection,High,135,Escalated,Automated System,2024-03-04 08:00:00
82,1834,SQL Injection,High,205,Resolved,Automated System,2024-03-04 09:00:00
83,9391,SQL Injection,Low,117,Resolved,User Report,2024-03-04 10:00:00
84,1087,Malware Infection,Low,278,Resolved,Security Team,2024-03-04 11:00:00
85,5981,SQL Injection,High,325,In Progress,Automated System,2024-03-04 12:00:00
86,9310,Credential Stuffing,High,136,Resolved,Automated System,2024-03-04 13:00:00
87,9491,Credential Stuffing,Medium,206,Resolved,Security Team,2024-03-04 14:00:00
88,7326,Phishing Attempt,High,82,Resolved,Automated System,2024-03-04 15:00:00
89,7216,Malware Infection,High,90,Resolved,Automated System,2024-03-04 16:00:00
90,5741,Credential Stuffing,Medium,58,Resolved,User Report,2024-03-04 17:00:00
91,2958,Malware Infection,High,267,In Progress,Security Team,2024-03-04 18:00:00
92,4883,Phishing Attempt,Low,446,In Progress,User Report,2024-03-04 19:00:00
93,5498,SQL Injection,High,267,Resolved,User Report,2024-03-04 20:00:00
94,3187,Phishing Attempt,Medium,143,In Progress,Security Team,2024-03-04 21:00:00
95,1472,Malware Infection,High,180,Resolved,Security Team,2024-03-04 22:00:00
96,7187,SQL Injection,Low,380,Resolved,Security Team,2024-03-04 23:00:00
97,9173,Phishing Attempt,Low,373,In Progress,Security Team,2024-03-05 00:00:00
98,4734,SQL Injection,High,340,In Progress,Automated System,2024-03-05 01:00:00
99,4069,Phishing Attempt,Medium,279,Resolved,Security Team,2024-03-05 02:00:00
100,2105,Malware Infection,High,293,Resolved,User Report,2024-03-05 03:00:00
101,7478,Malware Infection,High,442,Resolved,Security Team,2024-03-05 04:00:00
102,2843,SQL Injection,Medium,329,Resolved,User Report,2024-03-05 05:00:00
103,7868,Credential Stuffing,Low,152,Resolved,Security Team,2024-03-05 06:00:00
104,9443,Brute Force Attack,High,469,Resolved,Automated System,2024-03-05 07:00:00
105,8096,Malware Infection,High,297,Resolved,Automated System,2024-03-05 08:00:00
106,3669,Phishing Attempt,High,269,Resolved,Automated System,2024-03-05 09:00:00
107,5816,Phishing Attempt,Low,470,Resolved,Security Team,2024-03-05 10:00:00
108,6649,SQL Injection,High,382,In Progress,User Report,2024-03-05 11:00:00
109,8338,Brute Force Attack,Low,248,In Progress,Security Team,2024-03-05 12:00:00
110,5441,SQL Injection,Low,437,Resolved,Security Team,2024-03-05 13:00:00
111,1774,Brute Force Attack,Medium,41,Escalated,Automated System,2024-03-05 14:00:00
112,3655,Malware Infection,Low,406,In Progress,Security Team,2024-03-05 15:00:00
113,9324,Brute Force Attack,High,284,In Progress,Security Team,2024-03-05 16:00:00
114,7604,Malware Infection,Medium,186,Resolved,Automated System,2024-03-05 17:00:00
115,2385,Credential Stuffing,High,337,In Progress,Security Team,2024-03-05 18:00:00
116,7778,Phishing Attempt,High,498,Resolved,Automated System,2024-03-05 19:00:00
117,2958,Credential Stuffing,Medium,474,In Progress,User Report,2024-03-05 20:00:00
118,8189,Brute Force Attack,High,86,Resolved,Security Team,2024-03-05 21:00:00
119,1079,Brute Force Attack,Medium,343,Resolved,Automated System,2024-03-05 22:00:00
